entity_addr,entity_total_trans_fulton_all_yr,pct_entity_total_trans_fulton_all_yr
0 1139 PRINCESS 30310,1.0,0.0008806460419363645
0 156 BARKSDALE 30309,1.0,0.0008806460419363645
0 43-59 169 11358,1.0,0.0008806460419363645
0 99 - 22 215TH 11429,1.0,0.0008806460419363645
0 DUNCAN 30318,1.0,0.0008806460419363645
0 LA GUARDIA --,2.0,0.001761292083872729
0 LAS OLAS BAY PROP PTREE LP 33301,28.0,0.02465808917421821
0 LOWELL 80204,1.0,0.0008806460419363645
0 P O BOX 30666,1.0,0.0008806460419363645
0 P O BOX NINETY TWO 91962,1.0,0.0008806460419363645
0 PO BOX 01911271 57186,1.0,0.0008806460419363645
0 PO BOX 100 14512,1.0,0.0008806460419363645
0 PO BOX 1001 30540,1.0,0.0008806460419363645
0 PO BOX 10027 31412,1.0,0.0008806460419363645
0 PO BOX 10070 83002,1.0,0.0008806460419363645
0 PO BOX 1011 95944,3.0,0.0026419381258090935
0 PO BOX 101778 33310,1.0,0.0008806460419363645
0 PO BOX 1023 33849,2.0,0.001761292083872729
0 PO BOX 1027 88221,1.0,0.0008806460419363645
0 PO BOX 1032 30081,2.0,0.001761292083872729
0 PO BOX 10328 50306,1.0,0.0008806460419363645
0 PO BOX 1033 30253,1.0,0.0008806460419363645
0 PO BOX 104 30290,5.0,0.004403230209681822
0 PO BOX 1050 29721,16.0,0.014090336670981833
0 PO BOX 10520 30310,2.0,0.001761292083872729
0 PO BOX 1053 93553,1.0,0.0008806460419363645
0 PO BOX 10553 30310,1.0,0.0008806460419363645
0 PO BOX 10587 30310,1.0,0.0008806460419363645
0 PO BOX 1059 10473,1.0,0.0008806460419363645
0 PO BOX 1063 30288,1.0,0.0008806460419363645
0 PO BOX 10635 30310,8.0,0.007045168335490916
0 PO BOX 1068 77497,2.0,0.001761292083872729
0 PO BOX 10692 30310,1.0,0.0008806460419363645
0 PO BOX 1075 94017,2.0,0.001761292083872729
0 PO BOX 108 30291,1.0,0.0008806460419363645
0 PO BOX 10832 30310,1.0,0.0008806460419363645
0 PO BOX 1084 6890,1.0,0.0008806460419363645
0 PO BOX 10892 30310,1.0,0.0008806460419363645
0 PO BOX 1094 30133,4.0,0.003522584167745458
0 PO BOX 10943 30310,1.0,0.0008806460419363645
0 PO BOX 1097 31010,1.0,0.0008806460419363645
0 PO BOX 11004 30310,12.0,0.010567752503236374
0 PO BOX 110085 30311,1.0,0.0008806460419363645
0 PO BOX 110166 30311,2.0,0.001761292083872729
0 PO BOX 110179 30311,1.0,0.0008806460419363645
0 PO BOX 110214 30311,2.0,0.001761292083872729
0 PO BOX 11043 30310,1.0,0.0008806460419363645
0 PO BOX 1105 30024,1.0,0.0008806460419363645
0 PO BOX 1105 30031,1.0,0.0008806460419363645
0 PO BOX 111 30517,1.0,0.0008806460419363645
0 PO BOX 1113 30188,5.0,0.004403230209681822
0 PO BOX 11155 30310,1.0,0.0008806460419363645
0 PO BOX 11186 30310,1.0,0.0008806460419363645
0 PO BOX 11211 30310,2.0,0.001761292083872729
0 PO BOX 11223 30310,1.0,0.0008806460419363645
0 PO BOX 11224 30310,1.0,0.0008806460419363645
0 PO BOX 1124 10702,1.0,0.0008806460419363645
0 PO BOX 1133 30272,1.0,0.0008806460419363645
0 PO BOX 11348 30310,2.0,0.001761292083872729
0 PO BOX 1142 30133,1.0,0.0008806460419363645
0 PO BOX 11428 30310,7.0,0.006164522293554553
0 PO BOX 1150 75034,3.0,0.0026419381258090935
0 PO BOX 115062 30310,1.0,0.0008806460419363645
0 PO BOX 11510 30355,1.0,0.0008806460419363645
0 PO BOX 115134 30310,1.0,0.0008806460419363645
0 PO BOX 11529 30355,1.0,0.0008806460419363645
0 PO BOX 115325 30310,2.0,0.001761292083872729
0 PO BOX 115520 30310,1.0,0.0008806460419363645
0 PO BOX 1156 31702,1.0,0.0008806460419363645
0 PO BOX 11586 30355,1.0,0.0008806460419363645
0 PO BOX 11592 30355,1.0,0.0008806460419363645
0 PO BOX 11621 30355,2.0,0.001761292083872729
0 PO BOX 11636 30355,4.0,0.003522584167745458
0 PO BOX 11642 30355,1.0,0.0008806460419363645
0 PO BOX 11688 30355,2.0,0.001761292083872729
0 PO BOX 11747 30355,1.0,0.0008806460419363645
