entity_addr,neighborhood,entity_total_trans_neighborhood_all_yr,total_trans_neighborhood_all_yr,pct_entity_total_trans_neighborhood_all_yr
0 1139 PRINCESS 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 LAS OLAS BAY PROP PTREE LP 33301,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 1050 29721,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
0 PO BOX 10520 30310,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
0 PO BOX 1068 77497,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 10692 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 1075 94017,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
0 PO BOX 10943 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 11004 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 1113 30188,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 11224 30310,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 161717 30321,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 16179 32035,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 169 30028,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 1693 28012,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 170342 30317,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 170529 30317,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 1822 30281,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 1831 30298,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
0 PO BOX 19124 31126,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 1947 28036,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 1965 28106,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 1996 29063,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
0 PO BOX 20101 30325,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 22102 77227,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 255 30086,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
0 PO BOX 29009 ,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 298 30179,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 30444 10303,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 309 30272,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 311607 31131,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
0 PO BOX 311692 31131,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 361638 30036,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
0 PO BOX 366512 30336,"Bush Mountain, Oakland City",4.0,752,0.5319148936170213
0 PO BOX 3887 30024,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
0 PO BOX 4013 7012,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 4074 30302,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 42987 30311,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
0 PO BOX 4380 30023,"Bush Mountain, Oakland City",4.0,752,0.5319148936170213
0 PO BOX 450889 31145,"Bush Mountain, Oakland City",2.0,752,0.26595744680851063
0 PO BOX 460 30002,"Bush Mountain, Oakland City",3.0,752,0.39893617021276595
0 PO BOX 488 29202,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 54 30666,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 577 30237,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 682371 30068,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 683762 30068,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
0 PO BOX 691 35652,"Bush Mountain, Oakland City",1.0,752,0.13297872340425532
